Model,Object_Precision,Object_Recall,Object_F1,Error_Rate
Z_synthIE_large_fe,0.926,0.930,0.921,0.000
I_Advance_Adaption_Baseline,0.906,0.949,0.918,0.000
Z_synthIE_base_fe,0.912,0.915,0.909,0.000
Z_synthIE_base_sc,0.891,0.915,0.895,0.000
C_Error_Incorporation_Baseline,0.860,0.922,0.880,0.000
F_URI_Retrieval_Filtering_Gen1v2,0.899,0.861,0.871,0.040
H_Full-Network-Architecture_Gen2,0.960,0.823,0.867,0.000
F_URI_Retrieval_Filtering_One_Agent,0.910,0.800,0.843,0.020
E_One_Agent_Architecture,0.877,0.815,0.834,0.060
C_Error_Incorporation_Gen1_PredEx,0.793,0.851,0.802,0.020
D_System_Simplification,0.804,0.797,0.789,0.020
I_Advance_Adaption_One_Agent,0.862,0.637,0.714,0.020
C_Error_Incorporation_Gen1,0.675,0.777,0.705,0.120
A_Initial_Baseline_Baseline,0.625,0.745,0.665,0.200
G_KG_Incorporation_NTT,0.705,0.641,0.665,0.240
Z_GenIE_base_fe,0.858,0.484,0.583,0.000
B_Task_Modularisation_Gen1,0.524,0.702,0.568,0.180
Z_GenIE_base_sc,0.845,0.449,0.551,0.000
MV_Full-Network_Llama-4-Maverick,0.488,0.432,0.454,0.200
MV_Full-Network_Kimi-K2,0.287,0.219,0.243,0.060
