Model,Predicate_Precision,Predicate_Recall,Predicate_F1,Error_Rate,Predicate_w_Parents_F1,Predicate_w_Related_F1
Z_synthIE_large_fe,0.882,0.890,0.882,0.000,0.894,0.912
Z_synthIE_base_sc,0.850,0.868,0.854,0.000,0.885,0.907
Z_synthIE_base_fe,0.853,0.848,0.849,0.000,0.888,0.905
H_Full-Network-Architecture_Gen2,0.784,0.672,0.710,0.000,0.782,0.790
I_Advance_Adaption_Baseline,0.645,0.640,0.631,0.000,0.724,0.735
I_Advance_Adaption_One_Agent,0.746,0.548,0.616,0.020,0.676,0.683
F_URI_Retrieval_Filtering_One_Agent,0.597,0.497,0.533,0.020,0.611,0.623
C_Error_Incorporation_Baseline,0.522,0.564,0.531,0.000,0.617,0.625
E_One_Agent_Architecture,0.551,0.484,0.503,0.060,0.597,0.604
F_URI_Retrieval_Filtering_Gen1v2,0.529,0.482,0.495,0.040,0.577,0.585
D_System_Simplification,0.498,0.462,0.471,0.020,0.545,0.556
Z_GenIE_base_fe,0.646,0.395,0.459,0.000,0.501,0.527
G_KG_Incorporation_NTT,0.495,0.420,0.449,0.240,0.539,0.546
Z_GenIE_base_sc,0.625,0.357,0.424,0.000,0.455,0.478
C_Error_Incorporation_Gen1,0.378,0.445,0.390,0.120,0.469,0.487
A_Initial_Baseline_Baseline,0.351,0.393,0.363,0.200,0.442,0.450
MV_Full-Network_Llama-4-Maverick,0.387,0.331,0.351,0.200,0.426,0.441
B_Task_Modularisation_Gen1,0.281,0.331,0.290,0.180,0.364,0.378
C_Error_Incorporation_Gen1_PredEx,0.301,0.294,0.286,0.020,0.345,0.358
MV_Full-Network_Kimi-K2,0.245,0.178,0.202,0.060,0.224,0.230
