Model,Subject_Precision,Subject_Recall,Subject_F1,Error_Rate
Z_synthIE_base_sc,0.930,0.945,0.934,0.000
Z_synthIE_large_fe,0.927,0.943,0.929,0.000
Z_synthIE_base_fe,0.923,0.938,0.926,0.000
H_Full-Network-Architecture_Gen2,0.930,0.915,0.907,0.000
F_URI_Retrieval_Filtering_One_Agent,0.910,0.848,0.848,0.000
I_Advance_Adaption_Baseline,0.800,0.948,0.840,0.000
I_Advance_Adaption_One_Agent,0.870,0.833,0.837,0.020
F_URI_Retrieval_Filtering_Gen1v2,0.800,0.818,0.777,0.060
E_One_Agent_Architecture,0.813,0.738,0.751,0.120
C_Error_Incorporation_Baseline,0.756,0.848,0.749,0.000
D_System_Simplification,0.702,0.843,0.719,0.040
G_KG_Incorporation_NTT,0.693,0.720,0.690,0.220
Z_GenIE_base_fe,0.710,0.742,0.689,0.000
C_Error_Incorporation_Gen1_PredEx,0.663,0.810,0.687,0.100
Z_GenIE_base_sc,0.691,0.698,0.665,0.000
A_Initial_Baseline_Baseline,0.601,0.768,0.646,0.200
C_Error_Incorporation_Gen1,0.613,0.755,0.640,0.160
B_Task_Modularisation_Gen1,0.481,0.698,0.534,0.180
